Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR279122,NGDC,2021-06-18,10x genomics,CRR279122.tar,2834708480,ftp://download.big.ac.cn/gsa/CRA004082/CRR279122/CRR279122.tar,CRX235971,ID-1,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350951,Plant sample,4530,Oryza sativa,ID-1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279155,NGDC,2021-06-18,10x genomics,CRR279155.tar,31963289600,ftp://download.big.ac.cn/gsa/CRA004082/CRR279155/CRR279155.tar,CRX235979,ID-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350959,Plant sample,4530,Oryza sativa,ID-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279156,NGDC,2021-06-18,10x genomics,CRR279156.tar,29546792960,ftp://download.big.ac.cn/gsa/CRA004082/CRR279156/CRR279156.tar,CRX235979,ID-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350959,Plant sample,4530,Oryza sativa,ID-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279157,NGDC,2021-06-18,10x genomics,CRR279157.tar,28673863680,ftp://download.big.ac.cn/gsa/CRA004082/CRR279157/CRR279157.tar,CRX235979,ID-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350959,Plant sample,4530,Oryza sativa,ID-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279158,NGDC,2021-06-18,10x genomics,CRR279158.tar,30585057280,ftp://download.big.ac.cn/gsa/CRA004082/CRR279158/CRR279158.tar,CRX235979,ID-3,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350959,Plant sample,4530,Oryza sativa,ID-3,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279171,NGDC,2021-06-18,10x genomics,CRR279171.tar,76696238080,ftp://download.big.ac.cn/gsa/CRA004082/CRR279171/CRR279171.tar,CRX235983,ID-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350963,Plant sample,4530,Oryza sativa,ID-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279172,NGDC,2021-06-18,10x genomics,CRR279172.tar,81975623680,ftp://download.big.ac.cn/gsa/CRA004082/CRR279172/CRR279172.tar,CRX235983,ID-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350963,Plant sample,4530,Oryza sativa,ID-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279173,NGDC,2021-06-18,10x genomics,CRR279173.tar,79556648960,ftp://download.big.ac.cn/gsa/CRA004082/CRR279173/CRR279173.tar,CRX235983,ID-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350963,Plant sample,4530,Oryza sativa,ID-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279174,NGDC,2021-06-18,10x genomics,CRR279174.tar,88701552640,ftp://download.big.ac.cn/gsa/CRA004082/CRR279174/CRR279174.tar,CRX235983,ID-4,,RNASeq,PolyA,TRANSCRIPTOMIC SINGLE CELL,Paired,,,ILLUMINA,PRJCA004855,SAMC350963,Plant sample,4530,Oryza sativa,ID-4,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
CRR279175,NGDC,2021-06-18,fastq,CRR279175_f1.fastq.gz|CRR279175_r2.fastq.gz,2630155981|2887864448,ftp://download.big.ac.cn/gsa/CRA004082/CRR279175/CRR279175_f1.fastq.gz|ftp://download.big.ac.cn/gsa/CRA004082/CRR279175/CRR279175_r2.fastq.gz,CRX235984,Pre-protoplasting replicate 1,,RNASeq,PolyA,TRANSCRIPTOMIC,Paired,,,ILLUMINA,PRJCA004855,SAMC350964,Plant sample,1427524,mixed sample,Pre-protoplasting replicate 1,CRA004082,"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"
